date_date,paid_source,campaign_key,campaign_name,cost,impression,click
2021-06-30,Criteo,criteo_bh,criteo_bh,0.0,0.0,0.0
2021-07-01,Criteo,criteo_bh,criteo_bh,0.0,0.0,0.0
2021-07-05,Criteo,criteo_bh,criteo_bh,0.0,0.0,0.0
2021-07-04,Criteo,criteo_bh,criteo_bh,0.0,0.0,0.0
2021-07-07,Criteo,criteo_bh,criteo_bh,0.0,0.0,0.0
2021-06-25,Criteo,criteo_bh,criteo_bh,4.0,5416.0,7.0
2021-06-19,Criteo,criteo_bh,criteo_bh,10.0,13011.0,17.0
2021-06-18,Criteo,criteo_bh,criteo_bh,13.0,17254.0,17.0
2021-06-13,Criteo,criteo_bh,criteo_bh,12.0,13553.0,18.0
2021-06-12,Criteo,criteo_bh,criteo_bh,11.0,14428.0,18.0
2021-06-24,Criteo,criteo_bh,criteo_bh,16.0,22718.0,19.0
2021-06-17,Criteo,criteo_bh,criteo_bh,15.0,19299.0,19.0
2021-06-11,Criteo,criteo_bh,criteo_bh,10.0,15617.0,20.0
2021-06-09,Criteo,criteo_bh,criteo_bh,14.0,23115.0,22.0
2021-06-16,Criteo,criteo_bh,criteo_bh,14.0,18728.0,22.0
2021-06-20,Criteo,criteo_bh,criteo_bh,13.0,15577.0,23.0
2021-06-23,Criteo,criteo_bh,criteo_bh,13.0,19722.0,23.0
2021-06-22,Criteo,criteo_bh,criteo_bh,13.0,18494.0,23.0
2021-06-05,Criteo,criteo_bh,criteo_bh,12.0,23913.0,28.0
2021-06-21,Criteo,criteo_bh,criteo_bh,21.0,24194.0,29.0
2021-06-14,Criteo,criteo_bh,criteo_bh,21.0,26757.0,32.0
2021-06-10,Criteo,criteo_bh,criteo_bh,19.0,26098.0,32.0
2021-06-15,Criteo,criteo_bh,criteo_bh,20.0,25130.0,34.0
2021-06-03,Criteo,criteo_bh,criteo_bh,17.0,33230.0,40.0
2021-06-08,Criteo,criteo_bh,criteo_bh,18.0,31419.0,40.0
2021-06-04,Criteo,criteo_bh,criteo_bh,18.0,33544.0,48.0
2021-06-01,Criteo,criteo_bh,criteo_bh,14.0,30336.0,39.0
2021-06-06,Criteo,criteo_bh,criteo_bh,15.0,30426.0,41.0
2021-06-07,Criteo,criteo_bh,criteo_bh,21.0,34377.0,45.0
2021-06-02,Criteo,criteo_bh,criteo_bh,21.0,39168.0,59.0
2021-09-20,Criteo,criteo_literie,criteo_literie,40.0,86831.0,464.0
2021-09-27,Criteo,criteo_literie,criteo_literie,29.0,77953.0,289.0
2021-09-14,Criteo,criteo_literie,criteo_literie,26.0,63571.0,305.0
2021-09-23,Criteo,criteo_literie,criteo_literie,24.0,82002.0,305.0
2021-09-16,Criteo,criteo_literie,criteo_literie,41.0,106533.0,465.0
2021-09-21,Criteo,criteo_literie,criteo_literie,35.0,84806.0,467.0
2021-09-13,Criteo,criteo_literie,criteo_literie,42.0,99827.0,294.0
2021-09-30,Criteo,criteo_literie,criteo_literie,31.0,96914.0,326.0
2021-09-22,Criteo,criteo_literie,criteo_literie,32.0,94068.0,422.0
2021-09-19,Criteo,criteo_literie,criteo_literie,40.0,87184.0,471.0
2021-09-29,Criteo,criteo_literie,criteo_literie,28.0,74768.0,344.0
2021-09-26,Criteo,criteo_literie,criteo_literie,40.0,94815.0,361.0
2021-09-15,Criteo,criteo_literie,criteo_literie,28.0,83885.0,361.0
2021-09-24,Criteo,criteo_literie,criteo_literie,34.0,90547.0,441.0
2021-09-25,Criteo,criteo_literie,criteo_literie,29.0,83343.0,282.0
2021-09-17,Criteo,criteo_literie,criteo_literie,34.0,86786.0,474.0
2021-09-18,Criteo,criteo_literie,criteo_literie,27.0,65086.0,411.0
2021-09-28,Criteo,criteo_literie,criteo_literie,32.0,80251.0,459.0
2021-07-20,Criteo,criteo_epicerie,criteo_epicerie,0.0,0.0,0.0
2021-07-07,Criteo,criteo_epicerie,criteo_epicerie,0.0,0.0,0.0
2021-06-28,Criteo,criteo_epicerie,criteo_epicerie,0.0,0.0,0.0
2021-06-25,Criteo,criteo_epicerie,criteo_epicerie,5.0,5645.0,7.0
2021-06-22,Criteo,criteo_epicerie,criteo_epicerie,6.0,10072.0,9.0
2021-06-19,Criteo,criteo_epicerie,criteo_epicerie,9.0,11949.0,11.0
2021-06-18,Criteo,criteo_epicerie,criteo_epicerie,13.0,17632.0,12.0
2021-06-17,Criteo,criteo_epicerie,criteo_epicerie,13.0,19049.0,12.0
2021-06-12,Criteo,criteo_epicerie,criteo_epicerie,10.0,15021.0,14.0
2021-06-11,Criteo,criteo_epicerie,criteo_epicerie,10.0,16092.0,16.0
2021-06-09,Criteo,criteo_epicerie,criteo_epicerie,13.0,23165.0,16.0
2021-06-01,Criteo,criteo_epicerie,criteo_epicerie,10.0,23596.0,17.0
2021-06-20,Criteo,criteo_epicerie,criteo_epicerie,15.0,19536.0,18.0
2021-06-21,Criteo,criteo_epicerie,criteo_epicerie,21.0,24157.0,18.0
2021-06-24,Criteo,criteo_epicerie,criteo_epicerie,19.0,24442.0,18.0
2021-06-13,Criteo,criteo_epicerie,criteo_epicerie,11.0,14711.0,19.0
2021-06-23,Criteo,criteo_epicerie,criteo_epicerie,16.0,21912.0,22.0
2021-06-16,Criteo,criteo_epicerie,criteo_epicerie,14.0,20307.0,22.0
2021-06-15,Criteo,criteo_epicerie,criteo_epicerie,19.0,24173.0,23.0
2021-06-03,Criteo,criteo_epicerie,criteo_epicerie,13.0,26995.0,25.0
2021-06-14,Criteo,criteo_epicerie,criteo_epicerie,21.0,25985.0,26.0
2021-06-10,Criteo,criteo_epicerie,criteo_epicerie,20.0,28358.0,27.0
2021-06-04,Criteo,criteo_epicerie,criteo_epicerie,13.0,28343.0,29.0
2021-06-06,Criteo,criteo_epicerie,criteo_epicerie,14.0,28270.0,29.0
2021-06-08,Criteo,criteo_epicerie,criteo_epicerie,20.0,35091.0,32.0
2021-06-02,Criteo,criteo_epicerie,criteo_epicerie,21.0,36526.0,34.0
2021-06-05,Criteo,criteo_epicerie,criteo_epicerie,15.0,26975.0,41.0
2021-06-07,Criteo,criteo_epicerie,criteo_epicerie,21.0,35354.0,43.0
2021-06-01,Criteo,criteo_mid_funnel,criteo_mid_funnel,4.0,10271.0,15.0
2021-09-07,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,25460.0,22.0
2021-09-10,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,28753.0,27.0
2021-06-16,Criteo,criteo_mid_funnel,criteo_mid_funnel,11.0,21727.0,28.0
2021-06-26,Criteo,criteo_mid_funnel,criteo_mid_funnel,12.0,19405.0,28.0
2021-06-15,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,22428.0,29.0
2021-06-25,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,22148.0,29.0
2021-08-31,Criteo,criteo_mid_funnel,criteo_mid_funnel,19.0,36072.0,31.0
2021-06-17,Criteo,criteo_mid_funnel,criteo_mid_funnel,15.0,27750.0,32.0
2021-06-05,Criteo,criteo_mid_funnel,criteo_mid_funnel,10.0,19279.0,32.0
2021-07-27,Criteo,criteo_mid_funnel,criteo_mid_funnel,19.0,28440.0,32.0
2021-07-06,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,23511.0,32.0
2021-06-11,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,24205.0,34.0
2021-09-08,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,34371.0,38.0
2021-06-18,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,28253.0,38.0
2021-06-29,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,28592.0,38.0
2021-06-30,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,31137.0,38.0
2021-06-19,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,24818.0,38.0
2021-07-21,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,27319.0,38.0
2021-06-20,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,30307.0,40.0
2021-06-22,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,30168.0,40.0
2021-06-03,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,27803.0,40.0
2021-08-30,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,35434.0,40.0
2021-08-28,Criteo,criteo_mid_funnel,criteo_mid_funnel,19.0,35341.0,40.0
2021-08-26,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,37026.0,42.0
2021-07-14,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,25098.0,42.0
2021-07-05,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,27773.0,42.0
2021-07-15,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,34386.0,44.0
2021-06-07,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,29876.0,44.0
2021-06-21,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,35564.0,44.0
2021-07-28,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,34174.0,44.0
2021-07-17,Criteo,criteo_mid_funnel,criteo_mid_funnel,15.0,27374.0,46.0
2021-09-25,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,27357.0,46.0
2021-06-04,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,26195.0,46.0
2021-09-09,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,36575.0,46.0
2021-06-23,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,33971.0,46.0
2021-06-28,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,36400.0,46.0
2021-09-14,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,30543.0,46.0
2021-06-13,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,26600.0,48.0
2021-07-23,Criteo,criteo_mid_funnel,criteo_mid_funnel,23.0,33898.0,50.0
2021-09-21,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,31598.0,50.0
2021-06-06,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,24417.0,50.0
2021-07-30,Criteo,criteo_mid_funnel,criteo_mid_funnel,24.0,37857.0,50.0
2021-06-14,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,35956.0,52.0
2021-08-04,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,39812.0,52.0
2021-07-11,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,27857.0,54.0
2021-09-23,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,34418.0,54.0
2021-08-03,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,38071.0,54.0
2021-07-20,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,37143.0,56.0
2021-06-09,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,30731.0,56.0
2021-07-10,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,25454.0,56.0
2021-08-29,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,36867.0,56.0
2021-08-05,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,44770.0,58.0
2021-09-18,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,29789.0,58.0
2021-08-02,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,39914.0,58.0
2021-08-16,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,40348.0,62.0
2021-09-06,Criteo,criteo_mid_funnel,criteo_mid_funnel,30.0,50237.0,64.0
2021-09-24,Criteo,criteo_mid_funnel,criteo_mid_funnel,23.0,34714.0,68.0
2021-09-20,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,44203.0,68.0
2021-09-12,Criteo,criteo_mid_funnel,criteo_mid_funnel,25.0,41880.0,68.0
2021-08-23,Criteo,criteo_mid_funnel,criteo_mid_funnel,30.0,48373.0,76.0
2021-08-17,Criteo,criteo_mid_funnel,criteo_mid_funnel,33.0,57649.0,88.0
2021-08-19,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,41276.0,65.0
2021-07-16,Criteo,criteo_mid_funnel,criteo_mid_funnel,24.0,38819.0,65.0
2021-08-18,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,46769.0,65.0
2021-08-06,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,44241.0,69.0
2021-08-15,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,40682.0,73.0
2021-09-27,Criteo,criteo_mid_funnel,criteo_mid_funnel,30.0,48082.0,77.0
2021-09-26,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,32943.0,77.0
2021-08-08,Criteo,criteo_mid_funnel,criteo_mid_funnel,27.0,43980.0,85.0
2021-07-08,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,22558.0,33.0
2021-07-24,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,22244.0,33.0
2021-06-24,Criteo,criteo_mid_funnel,criteo_mid_funnel,15.0,25943.0,35.0
2021-08-24,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,35078.0,35.0
2021-09-01,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,34023.0,35.0
2021-06-12,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,20072.0,35.0
2021-07-29,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,29932.0,37.0
2021-06-08,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,26568.0,37.0
2021-07-31,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,29226.0,37.0
2021-07-13,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,30110.0,41.0
2021-06-10,Criteo,criteo_mid_funnel,criteo_mid_funnel,13.0,24632.0,41.0
2021-07-02,Criteo,criteo_mid_funnel,criteo_mid_funnel,15.0,26931.0,41.0
2021-09-04,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,28894.0,41.0
2021-09-02,Criteo,criteo_mid_funnel,criteo_mid_funnel,24.0,42194.0,43.0
2021-09-17,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,29540.0,45.0
2021-08-20,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,31760.0,45.0
2021-07-25,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,26361.0,47.0
2021-09-15,Criteo,criteo_mid_funnel,criteo_mid_funnel,19.0,35054.0,47.0
2021-07-22,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,34699.0,47.0
2021-09-11,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,30788.0,47.0
2021-06-02,Criteo,criteo_mid_funnel,criteo_mid_funnel,15.0,30619.0,49.0
2021-07-26,Criteo,criteo_mid_funnel,criteo_mid_funnel,23.0,30838.0,49.0
2021-07-09,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,27266.0,49.0
2021-07-19,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,37105.0,49.0
2021-08-25,Criteo,criteo_mid_funnel,criteo_mid_funnel,25.0,42709.0,49.0
2021-08-21,Criteo,criteo_mid_funnel,criteo_mid_funnel,14.0,24605.0,49.0
2021-09-16,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,36838.0,51.0
2021-07-04,Criteo,criteo_mid_funnel,criteo_mid_funnel,16.0,26057.0,51.0
2021-06-27,Criteo,criteo_mid_funnel,criteo_mid_funnel,17.0,31724.0,51.0
2021-08-27,Criteo,criteo_mid_funnel,criteo_mid_funnel,24.0,42456.0,51.0
2021-09-05,Criteo,criteo_mid_funnel,criteo_mid_funnel,20.0,39231.0,53.0
2021-09-03,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,40022.0,53.0
2021-07-01,Criteo,criteo_mid_funnel,criteo_mid_funnel,25.0,42743.0,53.0
2021-07-18,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,30071.0,57.0
2021-07-03,Criteo,criteo_mid_funnel,criteo_mid_funnel,18.0,27749.0,57.0
2021-09-22,Criteo,criteo_mid_funnel,criteo_mid_funnel,22.0,39182.0,57.0
2021-08-09,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,39219.0,59.0
2021-08-11,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,41656.0,59.0
2021-09-13,Criteo,criteo_mid_funnel,criteo_mid_funnel,31.0,44771.0,59.0
2021-08-14,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,44035.0,63.0
2021-08-10,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,45516.0,63.0
2021-09-19,Criteo,criteo_mid_funnel,criteo_mid_funnel,21.0,35366.0,66.0
2021-09-29,Criteo,criteo_mid_funnel,criteo_mid_funnel,31.0,42623.0,66.0
2021-09-30,Criteo,criteo_mid_funnel,criteo_mid_funnel,32.0,41206.0,66.0
2021-07-07,Criteo,criteo_mid_funnel,criteo_mid_funnel,23.0,38051.0,66.0
2021-08-01,Criteo,criteo_mid_funnel,criteo_mid_funnel,24.0,44084.0,70.0
2021-08-12,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,45004.0,70.0
2021-08-22,Criteo,criteo_mid_funnel,criteo_mid_funnel,24.0,41370.0,78.0
2021-08-13,Criteo,criteo_mid_funnel,criteo_mid_funnel,26.0,42008.0,67.0
2021-08-07,Criteo,criteo_mid_funnel,criteo_mid_funnel,24.0,40357.0,67.0
2021-09-28,Criteo,criteo_mid_funnel,criteo_mid_funnel,32.0,44153.0,71.0
2021-07-12,Criteo,criteo_mid_funnel,criteo_mid_funnel,33.0,48821.0,79.0
2021-07-20,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-07,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-08,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-12,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-09,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-15,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-13,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-06,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-11,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-10,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-21,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-08-02,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
2021-07-19,Criteo,criteo_audience_tv,criteo_audience_tv,0.0,0.0,0.0
