date_date,orders_id,news,turnover,session_id
2021-08-14,960356,0,63.98,35296358395202709001628959574
2021-08-14,960169,1,27.39,47824314270015620551628943290
2021-08-14,960155,0,7.85,69349408438678767281628941865
2021-08-14,960075,0,37.16,83432439256883821751628927542
2021-08-14,960306,0,219.06,69321286495879760621628952575
2021-08-14,960329,1,45.72,74358906594324826961628955539
2021-08-14,960220,0,54.49,45691105718856728701628947280
2021-08-14,960207,0,121.91,74868801246398837041628942780
2021-08-14,960348,0,42.82,78056043262115783221628957142
2021-08-14,960236,0,22.27,91248919430204038291628946168
2021-08-14,960291,0,30.24,19110621196365642741628952491
2021-08-14,960334,0,46.24,48487622748557737931628956441
2021-08-14,960376,0,105.05,88071096192352778451628962538
2021-08-14,960299,1,150.77,50530402524166571791628952870
2021-08-14,960249,0,34.22,86402898251835194471628947933
2021-08-14,960276,1,2.9,1560537899778435151628950796
2021-08-14,960097,1,36.94,35358962826351438151628932747
2021-08-14,960399,1,219.33,65417546955012138661628964923
2021-08-14,960062,1,44.04,87208678956930377601628929709
2021-08-14,960206,1,109.44,43436885261573455201628944488
2021-08-14,960195,0,109.44,
2021-08-14,960344,0,89.76,30275121578368474471628955885
2021-08-14,960413,0,9.95,4086209911471548741628970438
2021-08-14,960057,0,36.07,56946781771133505921628929302
2021-08-14,960447,0,103.9,82148342776678448911628975916
2021-08-14,960254,0,51.28,61415798535880090111628949468
2021-08-14,960142,0,76.98,84781155452793393781628937078
2021-08-14,960368,0,53.27,90874257836936560941628960583
2021-08-14,960298,1,70.85,15118214803573422941628953170
2021-08-14,960174,0,94.47,6897116241188281131628942108
2021-08-14,960225,0,71.62,90028742371853771131628946338
2021-08-14,960251,1,16.73,31246782896018415791628948917
2021-08-14,960201,1,16.5,59814105288030450121628944756
2021-08-14,960029,1,12.88,59828811427845649151628924683
2021-08-14,960232,0,63.72,71817940333709028271628948262
2021-08-14,960410,0,129.73,84134590775406159511628968762
2021-08-14,960119,0,52.86,15890980614340849061628934789
2021-08-14,960382,0,17.07,52257613056641578321628962609
2021-08-14,960076,1,81.51,45183031016446259491628930811
2021-08-14,960398,1,112.23,53741760308811315911628966708
2021-08-14,960127,1,26.17,59325175530696840221628937216
2021-08-14,960314,1,102.68,75210283272786227321628955421
2021-08-14,960389,1,36.91,79510814603175616061628965588
2021-08-14,960320,0,26.49,81479625258965639071628952362
2021-08-14,960351,0,54.67,57393200027647788271628958806
2021-08-14,960005,1,96.04,81624229291911796121628919442
2021-08-14,960423,1,51.84,88442474068857402421628971863
2021-08-14,960089,1,29.17,16147908388610826701628932558
2021-08-14,960006,0,91.53,69821378486288123471628919669
2021-08-14,960055,1,148.95,81490499772489935611628928077
2021-08-14,960132,0,88.68,51967792915524887801628937831
2021-08-14,960046,1,68.24,64465972812866819431628927323
2021-08-14,960358,0,33.82,33949802396006554191628954610
2021-08-14,960162,1,69.62,59561430515171778251628942313
2021-08-14,959996,1,72.91,61783560179375647191628914969
2021-08-14,960308,1,46.74,66445094773498701021628953979
2021-08-14,960093,0,91.08,70218896607516790391628933741
2021-08-14,960408,1,42.53,80712196680303307651628968871
2021-08-14,960134,0,49.98,10924150248769874491628939740
2021-08-14,960304,1,31.9,23771088448394275461628954079
2021-08-14,960070,1,74.03,65570615595101040381628930196
2021-08-14,960009,0,82.97,73732183205719160121628921584
2021-08-14,960452,0,169.0,58805336655441490181628976832
2021-08-14,960209,1,93.7,86531009868862521711628942944
2021-08-14,960383,0,127.16,2047475350802284121628964415
2021-08-14,960311,0,12.15,90580186537409763281628954552
2021-08-14,960336,1,87.95,27808065906285017421628955619
2021-08-14,960418,1,47.85,57409599243577014421628970820
2021-08-14,960264,0,51.49,52537935564486200621628950330
2021-08-14,960202,1,42.36,84529499531857248861628945867
2021-08-14,960440,0,12.6,9219775971516487341628975165
2021-08-14,960090,0,62.89,37132440722152626321628933483
2021-08-14,960074,0,46.78,38558665358237706001628931054
2021-08-14,960402,1,44.98,88936853666807210781628968636
2021-08-14,960430,0,334.77,48045024307039136461628973307
2021-08-14,960277,1,41.04,27102881282094220291628951193
2021-08-14,960248,1,86.1,64863209656559693611628948971
2021-08-14,960178,1,118.14,78153541596715220381628943098
2021-08-14,960449,1,44.96,13928521919630995141628975234
2021-08-14,960187,0,135.48,21171537072760895981628944641
2021-08-14,960039,0,163.99,77382365658777743671628926312
2021-08-14,960305,0,37.43,173947745279304297691628952711
2021-08-14,960272,1,28.46,34657383569272218191628950589
2021-08-14,960010,1,40.78,87011823597863280711628921185
2021-08-14,960008,0,30.92,45522136508582695301628920670
2021-08-14,960328,0,95.7,60449237106074512961628956143
2021-08-14,960116,1,64.93,85195213621800200641628936038
2021-08-14,960287,1,110.18,120697135112855112191628951646
2021-08-14,960190,1,47.89,45808882999300052341628944739
2021-08-14,960354,0,19.72,61158655751335051481628959390
2021-08-14,960293,0,80.15,5929395040143151481628951036
2021-08-14,960060,1,120.51,60320679200076992781628948690
2021-08-14,960071,0,37.25,5838012567681444091628931106
2021-08-14,960275,0,36.32,76500802274865558791628950331
2021-08-14,960353,0,54.68,82519238414119673801628958711
2021-08-14,960313,0,83.46,86788690941527893051628954991
2021-08-14,960326,1,36.45,47980840100773263311628955488
2021-08-14,960175,1,25.81,69971233846743339991628943667
2021-08-14,960257,0,23.56,19981357396876005141628948165
2021-08-14,960160,1,39.18,52057040145423131211628941099
2021-08-14,960260,1,69.23,60783476786463019851628949088
2021-08-14,960443,0,8.26,75457833032917484521628975459
2021-08-14,960151,0,45.23,82757585562652882701628940956
2021-08-14,960415,0,57.79,24704400733154509661628970625
2021-08-14,960015,1,49.27,55678524529033448961628922532
2021-08-14,960194,1,25.85,85657270240606733171628944267
2021-08-14,960204,0,95.13,13545226840848806541628944036
2021-08-14,960404,1,189.11,21201959571659175811628969206
2021-08-14,960109,0,22.64,42327996947187363731628936187
2021-08-14,960281,0,59.99,20550149364758108761628951706
2021-08-14,960407,1,69.96,84511031516127712631628968495
2021-08-14,960453,1,41.99,37858967553940951121628977126
2021-08-14,960227,0,62.57,58961181390714807961628947423
2021-08-14,960290,1,182.82,15090079590189430621628950576
2021-08-14,960218,1,59.14,18908961615432459621628946507
2021-08-14,960172,0,122.77,25543539503476202741628940869
2021-08-14,960184,1,43.7,83964512518615667041628943610
2021-08-14,960352,1,113.81,58936758574222874791628958816
2021-08-14,960396,1,65.45,57040462910359581751628966430
2021-08-14,960020,1,29.58,2883946044451317611628922870
2021-08-14,960342,1,30.5,59245801485812845711628957909
2021-08-14,960180,0,63.69,87011869983504734191628943557
2021-08-14,960087,0,39.55,91665127059065736521628932111
2021-08-14,959998,0,87.69,22946739827486723031628914715
2021-08-14,960166,0,82.24,53073263939096909821628942793
2021-08-14,960129,0,122.5,56273543714763933101628938781
2021-08-14,960191,1,16.88,73223598561783783501628943991
2021-08-14,960112,0,71.94,10287550110236005631628933678
2021-08-14,960012,1,26.54,56410298265197196211628921547
2021-08-14,960177,0,23.41,68740869211024569441628942460
2021-08-14,960203,0,42.52,87393645460354164671628945752
2021-08-14,960107,0,26.32,41773158340152257241628936066
2021-08-14,960133,1,78.98,23101822549562935861628938681
2021-08-14,960283,1,97.19,37996379320861210171628951100
2021-08-14,960300,1,55.69,6021883982930741711628952530
2021-08-14,960137,0,23.04,83349819891588535931628937179
2021-08-14,960253,0,49.88,78245646569082572811628948489
2021-08-14,960347,0,40.53,15760216508475583161628957362
2021-08-14,960007,0,8.13,45727392363068891071628920954
2021-08-14,960331,0,34.22,22506927488389474601628956027
2021-08-14,960021,0,39.55,34333815379029786361628923475
2021-08-14,960147,0,305.68,47260275928758059721628940146
2021-08-14,960025,1,9.8,67414173012065913911628923814
2021-08-14,960255,0,23.3,77746467903525223611628949627
2021-08-14,960243,0,105.0,12207302222656397731628946653
2021-08-14,960393,0,79.93,13004101462978732461628966156
2021-08-14,960185,0,91.6,2452903470222325581628941319
2021-08-14,960082,0,161.33,68625805577147861101628931906
2021-08-14,960258,1,86.64,84769678655933382681628949316
2021-08-14,960409,0,14.83,11612149034007992831628970038
2021-08-14,960113,1,8.17,15107615426351976621628936894
2021-08-14,960211,0,25.58,55853418861501945481628943730
2021-08-14,960395,0,116.35,79236024581105928481628966877
2021-08-14,960436,0,5.67,82918902945153079471628971812
2021-08-14,960239,1,59.31,21174835049298501011628947193
2021-08-14,960035,1,35.28,36729530956869386751628925348
2021-08-14,960289,1,37.82,40197084099059276081628951996
2021-08-14,960056,1,41.0,5313502829249015251628928737
2021-08-14,959986,1,93.67,38754105096254853141628894120
2021-08-14,960417,0,8.69,43362466449226504901628966426
2021-08-14,959991,1,65.8,51572963271923901441628895433
2021-08-14,960335,1,65.62,70126811091351369871628954686
2021-08-14,960241,1,66.67,78741654689782020051628947863
2021-08-14,960341,0,94.03,82974826941152550601628957115
2021-08-14,960193,0,49.99,4822684317190992831628944825
2021-08-14,960333,1,101.68,5337567316268742191628956014
2021-08-14,960018,1,32.48,89195690214378520741628923338
2021-08-14,959984,0,73.91,2058071206917709671628894183
2021-08-14,960115,0,49.67,28848725830857906021628937183
2021-08-14,960285,0,91.3,62855185529395163571628951956
2021-08-14,959989,1,11.05,84983394639443945941628897655
2021-08-14,960256,0,64.9,88547424515173790771628949689
2021-08-14,960158,1,95.1,23029660011932395981628942483
2021-08-14,960026,1,103.19,69048256155084900891628923383
2021-08-14,960000,1,20.83,75311691616762805761628918535
2021-08-14,960058,1,91.99,85645277661235208761628927228
2021-08-14,960274,0,64.32,129965375470179444191628949924
2021-08-14,960337,1,84.29,13546477491803933671628957377
2021-08-14,960450,1,16.9,57440934723673262861628976061
2021-08-14,960361,1,125.21,89529798555061491391628959792
2021-08-14,960219,1,73.08,48964034479673676181628946891
2021-08-14,960124,1,66.49,70804987114524979871628937929
2021-08-14,960072,1,72.43,15794619969520484201628930522
2021-08-14,960091,1,19.96,33354154641850068451628932864
2021-08-14,960365,0,73.95,39398467700522818661628960880
2021-08-14,960392,0,93.84,48663918657703788471628964454
2021-08-14,960380,1,170.3,50450013234748442061628961331
2021-08-14,960247,1,118.91,7286177700537794381628946414
2021-08-14,960156,1,9.78,67223397307876403801628942049
2021-08-14,960150,0,27.94,24140894538558116491628940360
2021-08-14,960323,1,32.43,63504345354872745171628955807
2021-08-14,960419,1,45.49,64691162329059725471628970837
2021-08-14,960362,0,54.74,72264584634339117671628958169
2021-08-14,960131,1,11.21,63294228511006158331628939424
2021-08-14,960266,0,56.39,10861999537963527151628949218
2021-08-14,960242,0,45.73,52461778192492518811628947347
2021-08-14,960003,0,49.66,68314289623371979891628918633
2021-08-14,960149,1,66.58,76753868765824515311628941464
2021-08-14,960034,1,10.55,5759950935780583831628926111
2021-08-14,960059,1,89.73,67626368534202249711628927949
2021-08-14,960327,0,27.3,75223786907662967301628952212
2021-08-14,960278,0,110.43,77786274734166273901628951448
2021-08-14,960294,0,64.92,16578267032283181791628952455
2021-08-14,960420,0,76.62,18484191840929462351628969592
2021-08-14,960135,0,84.69,41705832193755002101628938654
2021-08-14,960117,0,66.01,52637083982862489191628937178
2021-08-14,960214,1,45.11,183527318450290620481628943390
2021-08-14,960456,0,83.43,19944180718308047071628977382
2021-08-14,960284,1,22.78,33889804752346042121628951735
2021-08-14,960144,0,0.0,75729775716313926501628941287
2021-08-14,960022,0,39.43,81234490043803496301628923411
2021-08-14,960428,0,34.2,34139166730995440791628972624
2021-08-14,960217,0,14.3,79311438580115929021628946739
2021-08-14,960161,1,99.98,8003255733651809641628940841
2021-08-14,960441,0,48.22,81110421366474118531628974496
2021-08-14,960125,1,19.87,90106759464966959791628937904
2021-08-14,960222,0,37.87,45179687384409314251628947161
2021-08-14,960397,1,140.55,55525231176152266051628966628
2021-08-14,960165,1,66.14,3599492019781431281628942929
2021-08-14,960066,0,106.19,49384830979849640601628928747
2021-08-14,960429,0,135.12,174283183802169535121628970495
2021-08-14,960092,0,46.91,55615090739681960611628933498
2021-08-14,960079,1,165.11,59620447703735677611628931355
2021-08-14,960126,1,47.37,28274600973827846621628937881
2021-08-14,960094,0,132.36,38454998419732148651628932344
2021-08-14,960457,1,,
2021-08-14,960455,1,,
2021-08-14,960454,1,,
2021-08-14,960451,1,,
2021-08-14,960448,0,,
2021-08-14,960446,0,,
2021-08-14,960445,1,,
2021-08-14,960444,0,,
2021-08-14,960442,1,,
2021-08-14,960439,1,,
2021-08-14,960438,1,,
2021-08-14,960435,0,,
2021-08-14,960434,1,,
2021-08-14,960433,1,,
2021-08-14,960432,0,,
2021-08-14,960431,0,,
2021-08-14,960427,0,,
2021-08-14,960426,0,,
2021-08-14,960425,0,,
2021-08-14,960424,0,,
2021-08-14,960422,0,,
2021-08-14,960421,0,,
2021-08-14,960416,1,,
2021-08-14,960414,1,,
2021-08-14,960411,0,,
2021-08-14,960403,1,,
2021-08-14,960401,1,,
2021-08-14,960400,0,,
2021-08-14,960394,0,,
2021-08-14,960391,0,,
2021-08-14,960390,0,,
2021-08-14,960388,0,,
2021-08-14,960387,0,,
2021-08-14,960385,1,,
2021-08-14,960381,1,,
2021-08-14,960379,0,,
2021-08-14,960377,0,,
2021-08-14,960374,1,,
2021-08-14,960373,0,,
2021-08-14,960372,0,,
2021-08-14,960371,1,,
2021-08-14,960369,0,,
2021-08-14,960367,1,,
2021-08-14,960363,0,,
2021-08-14,960360,0,,
2021-08-14,960359,1,,
2021-08-14,960357,0,,
2021-08-14,960355,0,,
2021-08-14,960350,1,,
2021-08-14,960349,1,,
2021-08-14,960346,1,,
2021-08-14,960345,1,,
2021-08-14,960343,0,,
2021-08-14,960340,0,,
2021-08-14,960338,0,,
2021-08-14,960332,0,,
2021-08-14,960330,0,,
2021-08-14,960325,0,,
2021-08-14,960322,1,,
2021-08-14,960321,0,,
2021-08-14,960319,1,,
2021-08-14,960318,1,,
2021-08-14,960317,0,,
2021-08-14,960315,0,,
2021-08-14,960312,0,,
2021-08-14,960310,0,,
2021-08-14,960309,1,,
2021-08-14,960307,0,,
2021-08-14,960303,0,,
2021-08-14,960302,0,,
2021-08-14,960301,0,,
2021-08-14,960297,0,,
2021-08-14,960295,0,,
2021-08-14,960292,1,,
2021-08-14,960288,1,,
2021-08-14,960286,0,,
2021-08-14,960280,0,,
2021-08-14,960279,0,,
2021-08-14,960273,0,,
2021-08-14,960271,1,,
2021-08-14,960270,0,,
2021-08-14,960268,1,,
2021-08-14,960267,0,,
2021-08-14,960265,0,,
2021-08-14,960263,0,,
2021-08-14,960262,1,,
2021-08-14,960261,1,,
2021-08-14,960259,1,,
2021-08-14,960252,0,,
2021-08-14,960250,0,,
2021-08-14,960246,0,,
2021-08-14,960245,1,,
2021-08-14,960244,0,,
2021-08-14,960238,1,,
2021-08-14,960235,1,,
2021-08-14,960234,0,,
2021-08-14,960231,0,,
2021-08-14,960230,0,,
2021-08-14,960228,1,,
2021-08-14,960226,1,,
2021-08-14,960224,1,,
2021-08-14,960223,1,,
2021-08-14,960215,1,,
2021-08-14,960213,0,,
2021-08-14,960212,0,,
2021-08-14,960210,0,,
2021-08-14,960208,0,,
2021-08-14,960200,1,,
2021-08-14,960199,0,,
2021-08-14,960198,1,,
2021-08-14,960197,1,,
2021-08-14,960192,1,,
2021-08-14,960188,1,,
2021-08-14,960182,0,,
2021-08-14,960181,1,,
2021-08-14,960179,0,,
2021-08-14,960173,0,,
2021-08-14,960171,0,,
2021-08-14,960170,1,,
2021-08-14,960164,0,,
2021-08-14,960163,0,,
2021-08-14,960159,1,,
2021-08-14,960157,1,,
2021-08-14,960154,0,,
2021-08-14,960153,0,,
2021-08-14,960152,1,,
2021-08-14,960148,1,,
2021-08-14,960146,0,,
2021-08-14,960145,1,,
2021-08-14,960141,1,,
2021-08-14,960140,1,,
2021-08-14,960139,0,,
2021-08-14,960138,0,,
2021-08-14,960136,1,,
2021-08-14,960130,0,,
2021-08-14,960128,0,,
2021-08-14,960123,0,,
2021-08-14,960122,1,,
2021-08-14,960121,1,,
2021-08-14,960120,1,,
2021-08-14,960118,0,,
2021-08-14,960111,0,,
2021-08-14,960110,1,,
2021-08-14,960108,1,,
2021-08-14,960105,0,,
2021-08-14,960104,1,,
2021-08-14,960103,1,,
2021-08-14,960102,0,,
2021-08-14,960101,0,,
2021-08-14,960100,0,,
2021-08-14,960099,0,,
2021-08-14,960098,1,,
2021-08-14,960096,1,,
2021-08-14,960095,0,,
2021-08-14,960088,1,,
2021-08-14,960086,0,,
2021-08-14,960085,1,,
2021-08-14,960084,1,,
2021-08-14,960083,1,,
2021-08-14,960081,1,,
2021-08-14,960080,0,,
2021-08-14,960078,1,,
2021-08-14,960077,0,,
2021-08-14,960073,0,,
2021-08-14,960069,0,,
2021-08-14,960068,1,,
2021-08-14,960067,0,,
2021-08-14,960065,0,,
2021-08-14,960063,1,,
2021-08-14,960061,0,,
2021-08-14,960054,0,,
2021-08-14,960053,0,,
2021-08-14,960052,1,,
2021-08-14,960051,1,,
2021-08-14,960050,0,,
2021-08-14,960049,1,,
2021-08-14,960047,1,,
2021-08-14,960045,0,,
2021-08-14,960044,0,,
2021-08-14,960043,0,,
2021-08-14,960042,1,,
2021-08-14,960041,1,,
2021-08-14,960040,1,,
2021-08-14,960038,0,,
2021-08-14,960037,1,,
2021-08-14,960036,0,,
2021-08-14,960032,1,,
2021-08-14,960031,0,,
2021-08-14,960030,0,,
2021-08-14,960028,0,,
2021-08-14,960024,0,,
2021-08-14,960023,1,,
2021-08-14,960019,0,,
2021-08-14,960017,1,,
2021-08-14,960014,1,,
2021-08-14,960013,1,,
2021-08-14,960004,0,,
2021-08-14,960001,1,,
2021-08-14,959999,0,,
2021-08-14,959997,0,,
2021-08-14,959995,0,,
2021-08-14,959994,1,,
2021-08-14,959993,1,,
2021-08-14,959992,0,,
2021-08-14,959990,1,,
2021-08-14,959988,1,,
2021-08-14,959987,0,,
2021-08-14,959985,0,,
2021-08-14,959983,1,,
2021-08-14,959982,1,,
2021-08-14,959981,0,,
2021-08-14,960366,0,31.3,79300207885182548371628961020
2021-08-14,960176,1,36.74,1884941826459359631628943598
2021-08-14,960384,0,68.23,23104109748499262941628963995
2021-08-14,960237,1,52.79,6264720575016307551628946726
2021-08-14,960002,0,6.81,68777225121561040861628918428
2021-08-14,960221,1,42.64,92158153441741194351628944912
2021-08-14,960324,1,61.97,11498233229786961731628955155
2021-08-14,960233,0,39.41,30682090130767717131628947440
2021-08-14,960205,1,19.83,47618589588554814581628946028
2021-08-14,960240,1,102.28,48026032262263559241628948531
2021-08-14,960406,1,22.46,83269739882757341871628968989
2021-08-14,960033,0,175.19,22114230511024852721628926018
2021-08-14,960316,0,94.18,26950454310133881521628954192
2021-08-14,960370,1,38.39,4923859315945511031628958883
2021-08-14,960183,1,106.65,54078183808599890681628943085
2021-08-14,960437,1,17.42,54079224908582867111628973007
2021-08-14,960186,1,49.16,139239343433496526201628944355
2021-08-14,960114,1,148.71,74272187468076727331628936672
2021-08-14,960282,0,41.81,80240821614345756151628951800
2021-08-14,960216,0,144.48,17781747104633677651628945790
2021-08-14,960011,0,70.96,78737126677560197971628921206
2021-08-14,960412,1,78.73,52145885967735392211628964552
2021-08-14,960064,0,88.66,72668127649448278031628927029
2021-08-14,960375,1,67.9,63698493939782457141628962387
2021-08-14,960027,1,117.61,69252338827689918681628923118
2021-08-14,960168,1,40.86,784563324337322671628943024
2021-08-14,960296,1,126.03,90424954178446377081628953105
2021-08-14,960269,1,68.43,180830282612798435721628947995
2021-08-14,960189,0,170.63,21745770806987442651628944557
2021-08-14,960405,1,50.17,30808107520659308671628969186
2021-08-14,960339,1,58.38,78192093223074459101628957525
2021-08-14,960196,1,18.22,41491833773196396581628945012
2021-08-14,960143,0,113.36,42934650683926555971628941040
2021-08-14,960229,1,61.34,7566907113802106211628946628
2021-08-14,960386,1,128.6,1275397942110626881628963359
2021-08-14,960106,0,54.94,16156728662336198951628935609
2021-08-14,960016,1,103.92,26038874861543622421628922579
2021-08-14,960167,0,104.88,50067753371394978131628942974
2021-08-14,960364,1,23.03,88813313614027735421628961271
2021-08-14,960048,0,172.09,13800040507422450891628927722
2021-08-14,960378,0,76.58,17995683076083600791628962083
2021-06-01,893805,1,27.27,133566783127704740221622564214
2021-06-01,893762,1,75.32,17105336871507109391622562272
2021-06-01,893729,1,130.9,31209509151077751661622559804
2021-06-01,893920,0,66.19,67392975973995682321622571200
2021-06-01,893968,0,26.58,846982990177026401622573439
2021-06-01,893653,0,108.88,84707678268920309261622555019
2021-06-01,893378,1,54.19,87262692165097393651622541945
2021-06-01,893603,0,24.87,11523673351645085081622552824
2021-06-01,893417,0,56.79,31329084949065910881622542196
2021-06-01,893019,0,38.76,36488036842483476491622507331
2021-06-01,893915,0,55.87,48501786176072060381622570773
2021-06-01,893460,1,59.1,48543626051923193001622546931
2021-06-01,893274,0,42.67,78617226161225718861622538518
2021-06-01,894160,1,23.19,85890599235130114461622579774
2021-06-01,894193,0,132.59,1517675586890457551622579355
2021-06-01,893333,0,143.01,34559907740085374291622540882
2021-06-01,893086,1,14.79,52342985152312004281622529200
2021-06-01,893834,1,35.39,57624906170548516761622565818
2021-06-01,893249,1,40.52,60216383950819101501622534026
2021-06-01,893761,0,55.05,60902551319017068131622562546
2021-06-01,894151,0,32.97,66352893636907189031622574777
2021-06-01,893866,1,84.35,80860487083318440421622564723
2021-06-01,893588,1,54.67,85951610405408030131622552770
2021-06-01,893960,0,9.55,12281629423440032591622573205
2021-06-01,894010,0,114.4,13546058346440487621622574614
2021-06-01,893641,1,221.91,138358460587606298901622555426
2021-06-01,893985,0,30.89,15790232445705592971622573891
2021-06-01,893931,0,57.94,42244660193195463361622570709
2021-06-01,893935,0,162.0,43209192080088142581622571223
2021-06-01,893289,0,29.09,47098178236090946531622539046
2021-06-01,893554,0,160.31,63022212812726252281622550924
2021-06-01,894182,1,101.91,6830544040101154861622580132
2021-06-01,893508,1,55.54,21435858422460058161622549135
2021-06-01,893133,0,180.31,28654875530722150911622532666
2021-06-01,893893,1,57.15,44899060534616765151622569569
2021-06-01,893087,0,89.69,56135173698209263661622529845
2021-06-01,893988,0,44.57,83014113694207515521622573801
2021-06-01,894038,0,41.12,1495785004536270921622574685
